numGames, factor, min, max, avg
100,0.4,41,653,195.91
100,0.4025,41,673,184.42
100,0.405,54,699,217.44
100,0.4075,45,722,202.36
100,0.41,50,853,209.72
100,0.4125,68,552,204.38
100,0.415,47,861,204.97
100,0.4175,44,646,187.95
100,0.42,40,634,199.08
100,0.4225,52,749,186.0
100,0.425,52,652,198.02
100,0.4275,49,781,198.63
100,0.43,49,496,203.9
100,0.4325,54,1107,200.22
100,0.435,45,648,196.68
100,0.4375,50,554,205.87
100,0.44,54,580,202.48
100,0.4425,44,747,195.28
100,0.445,44,567,189.25
100,0.4475,47,913,194.17
