numGames, factor, min, max, avg
100,0.4,42,722,195.68
100,0.4025,53,717,204.16
100,0.405,43,481,189.11
100,0.4075,44,951,213.76
100,0.41,51,779,203.79
100,0.4125,46,677,215.38
100,0.415,41,693,166.61
100,0.4175,44,538,178.88
100,0.42,41,563,199.52
100,0.4225,62,701,208.41
100,0.425,52,1234,215.14
100,0.4275,49,598,200.7
100,0.43,55,636,203.99
100,0.4325,57,635,195.31
100,0.435,59,713,210.73
100,0.4375,48,1051,208.84
100,0.44,37,664,195.59
100,0.4425,37,495,184.7
100,0.445,40,582,232.2
100,0.4475,35,878,200.34
100,0.45,55,613,217.66
100,0.4525,48,848,220.36
100,0.455,36,716,200.8
100,0.4575,47,593,194.34
100,0.46,49,501,192.73
100,0.4625,48,525,198.4
100,0.465,41,497,200.44
100,0.4675,45,547,189.32
100,0.47,43,657,196.47
100,0.4725,50,515,184.18
100,0.475,50,580,205.69
100,0.4775,44,654,209.57
100,0.48,50,699,204.78
100,0.4825,46,790,213.15
100,0.485,38,622,190.97
100,0.4875,45,625,195.05
100,0.49,47,488,194.13
100,0.4925,43,636,206.76
100,0.495,51,543,205.96
100,0.4975,49,681,215.84
100,0.5,55,347,138.41
